FAC_NO,FAC_NAME,ADDRESS,CITY,COUNTY,ZIP_CODE,PHONE,OWNER,CEO,TYPE_HOSP,TYPE_CNTRL,TYPE_CARE,HSA_NAME,DSH_HOSP
106100005,CLOVIS COMMUNITY MEDICAL CENTER,2755 HERNDON AVE,CLOVIS,Fresno,93611,559-324-4000,COMMUNITY HEALTH SYSTEMS,CRAIG CASTRO,Comparable,Non-Profit,General,09 - CENTRAL,Non-DSH
106100717,COMMUNITY REGIONAL MEDICAL CENTER - FRESNO,2823 FRESNO STREET,FRESNO,Fresno,93715,559-459-6000,COMMUNITY HEALTH SYSTEMS,CRAIG CASTRO,Comparable,Non-Profit,General,09 - CENTRAL,DSH
106104062,KAISER FOUNDATION HOSPITAL - FRESNO,7300 N. FRESNO STREET,FRESNO,Fresno,93720,510-987-3380,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,09 - CENTRAL,Non-DSH
106105051,COALINGA STATE HOSPITAL,24511 W. JAYNE AVE,COALINGA,Fresno,93210,559-935-4300,STATE OF CALIFORNIA,BRANDON PRICE,State,State,Specialty,09 - CENTRAL,Non-DSH
106105125,CENTRAL STAR PSYCHIATRIC HEALTH FACILITY,"4411 E KINGS CANYON RD, #319",FRESNO,Fresno,93702,559-600-2382,STARS BEHAVIORAL HEALTH GROUP HOLDING COMPANY,KENT DUNLAP,PHF,Investor,Psychiatric,09 - CENTRAL,Non-DSH
106110889,GLENN MEDICAL CENTER,1133 W. SYCAMORE ST,WILLOWS,Glenn,95988,503-934-1800,GURPREET SINGH RANDHAWA,TAMMY THOMPSON,Comparable,Investor,General,01 - NORTHERN CALIFORNIA,Non-DSH
106121002,MAD RIVER COMMUNITY HOSPITAL,3800 JANES ROAD,ARCATA,Humboldt,95521,707-822-3621,AMERICAN HOSPITAL MANAGEMENT CORPORATION,DOUGLAS SHAW,Comparable,Investor,General,01 - NORTHERN CALIFORNIA,DSH
106121031,JEROLD PHELPS COMMUNITY HOSPITAL,733 CEDAR STREET,GARBERVILLE,Humboldt,95542,707-923-3921,SOUTHERN HUMBOLDT COMMUNITY HEALTHCARE DISTRICT,MATT REES,Comparable,District,General,01 - NORTHERN CALIFORNIA,Non-DSH
106121051,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,3300 RENNER DRIVE,FORTUNA,Humboldt,95540,707-725-3361,ST JOSEPH HEALTH NORTHERN CALIFORNIA LLC,DARIAN HARRIS,Comparable,Non-Profit,General,01 - NORTHERN CALIFORNIA,Non-DSH
106124004,SEMPERVIRENS P.H.F.,720 WOOD STREET,EUREKA,Humboldt,95501,707-268-2990,COUNTY OF HUMBOLDT,EMI BOTZLER-RODGERS,PHF,City/County,Psychiatric,01 - NORTHERN CALIFORNIA,Non-DSH
106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,207 WEST LEGION ROAD,BRAWLEY,Imperial,92227,760-351-3333,PIONEERS MEMORIAL HEALTHCARE DISTRICT,DAMON SORENSEN,Comparable,District,General,14 - SAN DIEGO / IMPERIAL,DSH
106141338,SOUTHERN INYO HOSPITAL,501 EAST LOCUST STREET,LONE PINE,Inyo,93545,760-876-5501,SOUTHERN INYO HEALTHCARE DISTRICT,PETER SPIERS,Comparable,District,General,12 - INLAND COUNTIES,Non-DSH
106150722,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH STREET,BAKERSFIELD,Kern,93302,661-327-4647,DIGNITY HEALTH,KEN KELLER,Comparable,Non-Profit,General,09 - CENTRAL,DSH
106150736,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,BAKERSFIELD,Kern,93306,661-326-2000,COUNTY OF KERN,SCOTT THYGERSON,Comparable,City/County,General,09 - CENTRAL,DSH
106150737,KERN VALLEY HOSPITAL DISTRICT,6412 LAUREL AVENUE,LAKE ISABELLA,Kern,93240,760-379-2681,KERN VALLEY HEALTHCARE DISTRICT,TIMOTHY MCGLEW,Comparable,District,General,09 - CENTRAL,DSH
106150761,MERCY HOSPITAL - BAKERSFIELD,2215 TRUXTON AVENUE,BAKERSFIELD,Kern,93301,661-632-6523,COMMONSPIRIT HEALTH,BENJAMIN BJ PREDUM,Comparable,Non-Profit,General,09 - CENTRAL,Non-DSH
106150775,GOOD SAMARITAN HOSPITAL - BAKERSFIELD,901 OLIVE DR.,BAKERSFIELD,Kern,93308,805-399-4661,ALLIANCE INVESTMENT INC,JAGDEEP DILLON,Comparable,Investor,General,09 - CENTRAL,DSH
106150782,RIDGECREST REGIONAL HOSPITAL,1081 N. CHINA LAKE BLVD,RIDGECREST,Kern,93555,760-499-3902,RIDGECREST REGIONAL HOSPITAL,JIM SUVER,Comparable,Non-Profit,General,09 - CENTRAL,DSH
106150820,BAKERSFIELD REHABILITATION HOSPITAL,4400 KIRKCALDY DR,BAKERSFIELD,Kern,93306,661-688-7000,"ERNEST HEALTH HOLDINGS, LLC","MOZGHAN HINES, PT, DPT",Comparable,Investor,Specialty,09 - CENTRAL,Non-DSH
106154044,BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL,5201 WHITE LANE,BAKERSFIELD,Kern,93309,877-755-4907,SIGNATURE HEALTHCARE SERVICES,JOHN BEALL,Comparable,Investor,Psychiatric,09 - CENTRAL,Non-DSH
106154101,BAKERSFIELD HEART HOSPITAL,3001 SILLECT AVENUE,BAKERSFIELD,Kern,93308,661-316-6000,"SURGERY CENTER HOLDINGS, INC. & DOCTORS HOSPITAL HOLDING, LLC",JASON WELLS,Comparable,Investor,Specialty,09 - CENTRAL,Non-DSH
106154160,CRESTWOOD PSYCHIATRIC HEALTH FACILITY - BAKERSFIELD,"6700 EUCALYPTUS DRIVE, STE C",BAKERSFIELD,Kern,93306,661-363-8127,"CRESTWOOD BEHAVIORAL HEALTH, INC.",SUKHDEEP KAUR,PHF,Investor,Psychiatric,09 - CENTRAL,Non-DSH
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,1100 MAGELLAN DRIVE,TEHACHAPI,Kern,93561,661-771-8600,ADVENTIST HEALTH SYSTEMS,JASON WELLS,Comparable,Non-Profit,General,09 - CENTRAL,Non-DSH
106171049,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVENUE,CLEARLAKE,Lake,95422,707-995-5705,ADVENTIST HEALTH SYSTEMS,COLLEEN ASSAVAPISITKUL,Comparable,Non-Profit,General,01 - NORTHERN CALIFORNIA,DSH
106171395,SUTTER LAKESIDE HOSPITAL,5176 HILL ROAD EAST,LAKEPORT,Lake,95453-6300,707-262-5000,SUTTER HEALTH,SCOTT KNIGHT,Comparable,Non-Profit,General,01 - NORTHERN CALIFORNIA,DSH
106184008,BANNER LASSEN MEDICAL CENTER,1800 SPRING RIDGE DRIVE,SUSANVILLE,Lassen,96130,530-252-2000,BANNER HEALTH SYSTEM,SANDY DUGGER,Comparable,Non-Profit,General,01 - NORTHERN CALIFORNIA,DSH
106190020,BHC ALHAMBRA HOSPITAL,4619 N ROSEMEAD BLVD,ROSEMEAD,Los Angeles,91770,626-286-1191,"UNIVERSAL HEALTH SERVICES, INC.",PEGGY MINNICK,Comparable,Investor,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106190034,ANTELOPE VALLEY HOSPITAL,1600 WEST AVENUE J,LANCASTER,Los Angeles,93534,661-949-5000,ANTELOPE VALLEY HOSPITAL DISTRICT,EDWARD MIRZABEGIAN,Comparable,District,General,11 - LOS ANGELES COUNTY,DSH
106190045,CATALINA ISLAND MEDICAL CENTER,100 FALLS CANYON ROAD,AVALON,Los Angeles,90704,310-510-0700,AVALON MEDICAL DEVELOPMENT CORPORATION,JASON PARET,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190052,BARLOW RESPIRATORY HOSPITAL,2000 STADIUM WAY,LOS ANGELES,Los Angeles,90026,213-250-4200,BARLOW RESPIRATORY HOSPITAL,AMIT MOHAN,Comparable,Non-Profit,Specialty,11 - LOS ANGELES COUNTY,Non-DSH
106190053,ST. MARY MEDICAL CENTER - LONG BEACH,1050 LINDEN AVENUE,LONG BEACH,Los Angeles,90813-3393,562-491-9000,DIGNITY HEALTH,CAROLYN CALDWELL,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190125,CALIFORNIA HOSPITAL MEDICAL CENTER,1401 S. GRAND AVENUE,LOS ANGELES,Los Angeles,90015,213-748-2411,DIGNITY HEALTH,ALINA MORAN,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190148,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,Los Angeles,90301,310-680-8200,"PRIME HEALTHCARE SERVICES, INC.","MOHAMMAD ABDELNASER, RN",Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,4211 S. AVALON BLVD,LOS ANGELES,Los Angeles,90011,323-233-0425,"KEDREN COMMUNITY HEALTH CENTER, INC.",JOHN H. GRIFFITH,Comparable,Non-Profit,Psychiatric,11 - LOS ANGELES COUNTY,DSH
106190170,CHILDREN'S HOSPITAL LOS ANGELES,"4650 SUNSET BOULEVARD, MS 21",LOS ANGELES,Los Angeles,90027,323-660-2450,CHILDRENS HOSPITAL LOS ANGELES,PAUL VIVIANO,Comparable,Non-Profit,Children,11 - LOS ANGELES COUNTY,DSH
106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 EAST DUARTE ROAD,DUARTE,Los Angeles,91010,626-256-4673,CITY OF HOPE NATIONAL MEDICAL CENTER,ROBERT W. STONE,Comparable,Non-Profit,Specialty,11 - LOS ANGELES COUNTY,Non-DSH
106190184,COLLEGE HOSPITAL,10802 COLLEGE PLACE,CERRITOS,Los Angeles,90703,562-924-9581,CERRITOS TOWNHOUSE INVESTMENT CO.,STEPHEN WITT,Comparable,Investor,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106190196,KINDRED HOSPITAL - SOUTH BAY,1246 WEST 155TH STREET,GARDENA,Los Angeles,90247,310-323-5330,KINDRED HEALTHCARE,MARK APODACA,Comparable,Investor,General,11 - LOS ANGELES COUNTY,Non-DSH
106190198,LOS ANGELES COMMUNITY HOSPITAL,4801 EAST OLYMPIC BLVD,LOS ANGELES,Los Angeles,90023,323-267-0477,"ALTA HOSPITALS SYSTEM, LLC",HECTOR HERNANDEZ,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190232,DEL AMO HOSPITAL,23700 CAMINO DEL SOL,TORRANCE,Los Angeles,90505,310-530-1151,"UHS OF DELAWARE, INC.",MARIKO YAMADA,Comparable,Investor,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106190240,LAKEWOOD REGIONAL MEDICAL CENTER,3700 E. SOUTH STREET,LAKEWOOD,Los Angeles,90712,562-531-2550,TENET HEALTHCARE CORPORATION,VIRGIS NARBUTAS,Comparable,Investor,General,11 - LOS ANGELES COUNTY,Non-DSH
106190243,PIH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVE,DOWNEY,Los Angeles,90241,562-904-5000,PIH HEALTH HOSPITAL,JIM WEST,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190280,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,ENCINO,Los Angeles,91436,818-995-5000,"PRIME HEALTHCARE SERVICES FOUNDATION, INC.",RICK MAHALINGAM,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190315,GARFIELD MEDICAL CENTER,525 N. GARFIELD AVENUE,MONTEREY PARK,Los Angeles,91754,626-307-2010,GARFIELD MEDICAL CENTER,HERBERT VILLAFUERTE,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,1891 EFFIE STREET,LOS ANGELES,Los Angeles,90026,323-644-2000,GATEWAYS HOSPITAL,PHIL WONG,Comparable,Non-Profit,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106190323,ADVENTIST HEALTH GLENDALE,1509 WILSON TERRACE,GLENDALE,Los Angeles,91206,818-409-8000,ADVENTIST HEALTH SYSTEMS,ALICE ISSAI,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190328,GLENDORA HOSPITAL,150 WEST ROUTE 66,GLENDORA,Los Angeles,91740-6207,866-410-5454,"CHLB, LLC",DOUGLAS MACKAY,Comparable,Investor,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,Los Angeles,90028,323-462-2271,"PROSPECT MEDICAL HOLDINGS, INC.",OMAR RAMIREZ,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 NORTH VERMONT AVENUE,LOS ANGELES,Los Angeles,90027-6000,213-413-3000,"CHA HOLLYWOOD PRESBYTERIAN MEDICAL CENTER, LP",JAMIE YOO,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI STREET,MISSION HILLS,Los Angeles,91345-1285,818-365-8051,PROVIDENCE HEALTH & SERVICES,"BERNIE KLEIN, MD",Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190392,GOOD SAMARITAN HOSPITAL - LA,1225 WILSHIRE BOULEVARD,LOS ANGELES,Los Angeles,90017,213-977-2121,PIH HEALTH INC,JAMES R WEST,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190400,HUNTINGTON HOSPITAL,100 W. CALIFORNIA BLVD,PASADENA,Los Angeles,91105-3010,626-397-5000,"PASADENA HOSPITAL ASSOCIATION, LTD","LORI J. MORGAN MD, MBA",Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190413,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,210 WEST SAN BERNARDINO ROAD,COVINA,Los Angeles,91723,626-858-8589,EMANATE HEALTH,RAJESH SHARMA,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BOULEVARD,LOS ANGELES,Los Angeles,90027,213-667-4867,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,25825 S. VERMONT AVENUE,HARBOR,Los Angeles,90710,310-517-5279,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,Los Angeles,91402,818-375-2295,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190434,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,6041 CADILLAC AVENUE,WEST LOS ANGELES,Los Angeles,90034,213-857-2135,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190462,AURORA LAS ENCINAS HOSPITAL,2900 E DEL MAR BLVD,PASADENA,Los Angeles,91107,626-795-9901,SIGNATURE HEALTHCARE SERVICES,TREVOR ASMUS,Comparable,Investor,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,4101 TORRANCE BLVD,TORRANCE,Los Angeles,90503,310-540-6767,PROVIDENCE HEALTH & SERVICES,GARRY OLNEY,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190517,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,Los Angeles,91356,818-881-0800,PROVIDENCE HEALTH AND SERVICES,NICK LYMBEROPOULOS,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190521,MEMORIAL HOSPITAL OF GARDENA,1145 WEST REDONDO BEACH BLVD,GARDENA,Los Angeles,90247,310-532-4200,PIPELINE HEALTH,VICTOR CARRASCO,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,1429 SOUTH CENTRAL AVENUE,GLENDALE,Los Angeles,91204-2594,818-502-1900,DIGNITY HEALTH,JILL WELTON,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA,14850 ROSCOE BOULEVARD,PANORAMA CITY,Los Angeles,91402,818-787-2222,"DEANCO HEALTHCARE, LLC",JAMES THEIRING,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,2801 ATLANTIC AVENUE,LONG BEACH,Los Angeles,90806,562-933-2000,MEMORIAL HEALTH SERVICES,BLAIR KENT,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190529,USC ARCADIA HOSPITAL,300 WEST HUNTINGTON DRIVE,ARCADIA,Los Angeles,91007,626-445-4441,USC ARCADIA HOSPITAL,IKENNA MMEJE,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190541,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVE,MONROVIA,Los Angeles,91016,626-408-9800,"ALAKOR HEALTHCARE, LLC",KATHY WOJNO,Comparable,Investor,General,11 - LOS ANGELES COUNTY,Non-DSH
106190552,MOTION PICTURE AND TELEVISION HOSPITAL,23388 MULHOLLAND DRIVE,WOODLAND HILLS,Los Angeles,91364,818-876-4169,MPTF,ROBERT BEITCHER,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190555,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,Los Angeles,90048-1865,323-568-8504,CEDARS-SINAI MEDICAL CENTER,PRISELAC THOMAS,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,Los Angeles,91328,818-885-8500,DIGNITY HEALTH,PAUL H. WATKINS,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190587,COLLEGE MEDICAL CENTER,2776 PACIFIC AVE,LONG BEACH,Los Angeles,90806,562-997-2000,"CHLB, LLC",JOE AVELINO,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190599,KINDRED HOSPITAL - PARAMOUNT,16453 S. COLORADO AVENUE,PARAMOUNT,Los Angeles,90723,562-531-3110,"KND REAL ESTATE 40, LLC",MARK APODACA,Comparable,Investor,General,11 - LOS ANGELES COUNTY,Non-DSH
106190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 NORTH GAREY AVENUE,POMONA,Los Angeles,91767,909-865-9500,POMONA VALLEY HOSPITAL MEDICAL CENTER,RICHARD E YOCHUM,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190636,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,1115 SO. SUNSET AVE,WEST COVINA,Los Angeles,91790,626-858-8541,EMANATE HEALTH,RAJESH SHARMA,Comparable,Non-Profit,General,#N/A,#N/A
106190661,L.A. DOWNTOWN MEDICAL CENTER,1711 WEST TEMPLE STREET,LOS ANGELES,Los Angeles,90026,213-689-6128,L.A. DOWNTOWN MEDICAL CENTER LLC,WILLIAM NELSON,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190681,DOCS SURGICAL HOSPITAL,6000 SAN VICENTE BLVD,LOS ANGELES,Los Angeles,90036-4404,323-433-7016,DOCS SURGICAL HOSPITAL,DR. KHAWAR SIDDIQUE,Comparable,Investor,Specialty,11 - LOS ANGELES COUNTY,Non-DSH
